dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,juliaDate,TotalCases,TotalDeaths,Incidence2018,Incidence2020,cCFR
31/12/2019,31,12,2019,0,0,Sweden,SE,SWE,10183175,2019-12-31,0,0,0.0,0.0,0.0
01/01/2020,1,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-01,0,0,0.0,0.0,0.0
02/01/2020,2,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-02,0,0,0.0,0.0,0.0
03/01/2020,3,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-03,0,0,0.0,0.0,0.0
04/01/2020,4,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-04,0,0,0.0,0.0,0.0
05/01/2020,5,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-05,0,0,0.0,0.0,0.0
06/01/2020,6,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-06,0,0,0.0,0.0,0.0
07/01/2020,7,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-07,0,0,0.0,0.0,0.0
08/01/2020,8,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-08,0,0,0.0,0.0,0.0
09/01/2020,9,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-09,0,0,0.0,0.0,0.0
10/01/2020,10,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-10,0,0,0.0,0.0,0.0
11/01/2020,11,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-11,0,0,0.0,0.0,0.0
12/01/2020,12,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-12,0,0,0.0,0.0,0.0
13/01/2020,13,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-13,0,0,0.0,0.0,0.0
14/01/2020,14,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-14,0,0,0.0,0.0,0.0
15/01/2020,15,1,2020,0,0,Sweden,SE,SWE,10183175,2020-01-15,0,0,0.0,0.0,0.0
